12	توشيةالميزان
الصنعة 5 . حجاز كبير . زجل
8	فِقْ يَا نَدِيمْ اُمْزُجْ عُقَارَكْ	وَاجْرَعْ كُؤُوسْ	وَاشْرَبْ عَلَى لَحْنِ الهَزَارْ
8	اِجْنِ المُنَى وَاقْطَفْ نِوَارَكْ	بَيْنَ الغُرُوسْ	شَقِيقَهَا وَالجُلَّنَارْ
6	بُحْ بِالهَوَى وَاخْلَعْ عِذَارَكْ	إِنَّ النُّفُوسْ	مَرَامُهَا خَلْعُ  العِذَارْ

4	بُحْ بِالهَوَى فَفِي الهَوَى	كُلُّ الأَمَانِي وَالمُنَى

8	مِنَ الهَوَى اِحْمِلْ لِوَا	فَوْقَ الرُّؤُوسْ	تَفُزْ بِغَايَةِ المُنَى

الصنعة 2 . شغل ـ رصد الذيل . توشيح رمل لابن سهل
28	غَالِبٌ لِي غَالِبٌ بِالتُّؤَدَة	بِأَبِي أَفْدِيهِ مِنْ جَافٍ رَفِيقْ
28	مَا عَلِمْنَا قَبْلُ ثَغْرًا نَضَّدَهْ	أُقْحُوَانًا عُصِرَتْ مِنْهُ رَحِيقْ

الصنعة 17 . بروالة ـ صيكة . ملحون
9	مَحْبُوبْ القَلْب سِيدْنَا	سُبْحَانْ مَنْ وْدّكْ بْالبْهَا تْفتْنْ

	هْوَاكْ يْفْنِي

9	وَصْلكْ يَا غَايْةْ المْنَى	وْالتِّيه إِفَادَة وْالقْبُولْ إحْسَان

	يْحْسنْ عَوْنِي

9	انْكْوِيتْ بْجَمْر الضّْنَا	وْالخَاطَرْ يَا مَالْكْ الاعْضَا نَشْطَان

	شُوفْ لَوْنِي

9	سَاقْطْ وْاخْيَالِي افْنَى	وَانَا بْهوَاكْ الحْرِيجْ نَتْمَحَّن

	حِنّ مْنِّي

9	عَوْضَكْ مَا هُو فِْي جِيلْنَا	قَرّْبْ لْلحَضْرَة وْالكْرِيمْ يْحِن

	اسْقِ وْغَنِّي

9	فِي هَاذْ اليَوْم عِيدْنَا	عِيدْ عْلَى الأَيَّامْ بِالزّْهُو  يْزيَانْ

	زَالْ حُزْنِي

9	وْجْمَعْ رَبِّي شَمْلْنَا	بِقْدُومْكْ طَابْ السّْرُورْ يَا حَسَنْ

	ضَوْ  عَيْنِي

الصنعة 4 . شغل ـ رصد الذيل . توشيح هزج
19	لاشْ يَا عَشِيَّة لا	تُلْهِمْنِي أُنْسًا مَضَى
19	وَكَاسْ مُدَامْ حَلا	يُلْهِجْنِي لَمَّا أَضَا
19	قَلْبِي جِمَارْ صَلا	يُوهِمْنِي نَارَ الغَضَا

الصنعة 5 . بروالة ـ رصد الذيل . ملحون
28	كُفّْ المْلامْ عَنِّي يا صَاحِ	ما انْفَعْني في طْريقْ المْسَارْ بْالهْوى تْلْحاحْ
28	لَوْ ذُقت الهْوى تَعْذَرْ	لِلعُشَّاقْ مَا تْعودْ انْصِيحْ
	أَنا العْشيقْ واكْمَتّْ اجْراحِي	من سيف ماضي يْبري الاَعضا حُكْمُه سَفَّاحْ
	أَنا عْيِيتْ نْدّْمّْملو	مَا انفَعني مْعَه مْديحْ

إنشاد
	أحبَّايَ أنتمْ أحسنَ الدَّهرُ أمْ أسا	فكونوا كما شئتمْ أنا ذلكَ الخلُّ

الصنعة 29 . شغل ـ رصد الذيل . قصيدة. بسيط
24	توشية
38	طَالَ اغْتِرَابِي وَلا خِلٌّ يُؤَنِّسُنِي	وَلا الزَّمَانُ بِمَنْ أَهْوَاهُ  يُوَافِينِي
38	وَقَدْ بُلِيتُ بِقَلْبٍ لا يُسَاعِدُنِي	نَفْسُ المُلُوكِ وَحَالَةُ   المَسَاكِينِ

الصنعة 30 . شغل ـ رصد الذيل .  توشيح مجتث
20	يَا طَلْعَةَ البَدْرِ الأَكْمَلْ	يَا شَمْسَ بَعْدَ الغَمَامِ
20	البُعْدُ مَا طِقْتُ أَحْمِلْ	مِنْ لَوْعَتِي وَغَرَامِي
14	كَمْ  يَلِي أَكْتُبْ وَأُرْسِلْ	عَسَى تَرُدَّ سَلامِي

12	إِنْ طَالْ عَلَيَّ بِعَادُكْ	ظَنِّيتْ نَمُوتْ يَا حَبِيبِي
20	أَنْعِمْ وَجُدْ بِوِصَالِكْ	يَا مُمْرِضِي وَطَبِيبِي

الصنعة 31 . شغل ـ رصد الذيل . زجل
36	يَا غَزَالِي	مَا أَجْمَلَكْ
36	بِعْتَ غَالِي	مَحَبَّتَكْ
36	لاَ تُبَالِي	بِمَنْ رَآكْ

الصنعة 32 . ذيل . زجل
4	حُبُّه جَارْ علِيَّا	أَرَادَ اللَّهُ بِهْ
4	ذُوَّقْنِي المَنِيَّه	ذَا الخَشْفْ النَّزِيهْ
4	رَانِي فِي المَشِيَّا	كِيفْ قَالَ الفَقِيهْ

4	وَنْوجْد قَلْبِي	لازَمُه السَّهَرْ
4	وَنَطْلُبْ رَبِّي	يَرْزَقْنِي الصَّبَرْ

الصنعة 14 . رصد الذيل . توشيح لأبي مدين الغوث
8	أَوْقَدْتَ فِي قَلْبِي هَوَاكْ	وَقُلْتَ لِي إِيَّاكْ تَبُوحْ
8	كَيْفَ يَخْفَى نُورُ سَنَاكْ	وَقَدْ بَدَا لِلنَّاسْ يَلُوحْ
8	وَكَيْفَ لِي أَعْشَقْ سِوَاكْ	وَأَنْتَ لِي جِسْمٌ وَرُوحْ

4	أَنْتَ المَحَجَّة وَالدَّلِيلْ	مَنْ ذَا يُطِيقْ عَنْكَ البِعَادْ
8	يَا رَاحَةَ القَلْبِ العَلِيلْ	فِيكَ اجْتَمَعْ كُلُّ المُرَادْ

الصنعة 34 . رصد الذيل . زجل
10	مَا أََشْكِي شَكِيَّا	إِلا لِلَّذِي يَعْلَمْ بِحَالِي
10	سَبَبُ القَضِيَّا	غُزَيَّلْ شَطَنْ عَقْلِي وَبَالِي
10	بِالنَّغْمَة الذَّكِيَّا	عَذَّبَ الوَرَى وْاسلْب مِثَالِي

10	بِالثَّغْرِ المُجَوْهَرْ	وَرِيقُه عَسَلْ يَشْفِي مَا بِيَّا
10	آشْ هَاذْ المُبَخْتَرْ	الَّذِي خُلِقْ فِتْنَة إِلَيَّا

الصنعة 16 . رصد الذيل . قصيدة. متقارب
16	غَزَالٌ سَمَا بِالبَهَا خِلْقَةً	وَيَفْضَحُ بَدْرَ الدُّجَى فِي اشْتِعَالْ
16	وَيَزْدَادُ لِلشَّمْسِ مِنْ حُسْنِهِ	بَهَاءٌ جَمِيلٌ وَحُسْنُ الكَمَالْ
12	لَهُ القُدُّ يَحْكِي لِسُمْرِ القَنَا	وَثَغْرٌ شَنِيبٌ وَجِيدٌ وَخَالْ

8	سَبَانِي هَوَاهُ فَقُلْتُ لَهُ	تَرَفَّقْ عَلَيَّ أَمِيرَ الجَمَالْ
16	فَهَلْ لِي بِوَصْلِكَ يَا أَمَلِي	لِيَذْهَبَ سُقْمِي فَقَالَ تَنَالْ

